GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW1.HA40_MV10_KH_A,,Sub,station,GW1,apartment,number,40,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA40_OE_FI,,Sub,station,GW1,apartment,number,40,OE,FI,,,,,,,,
GW1.HA40_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,40,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA40_QE16_AH1_M,,Sub,station,GW1,apartment,number,40,CO2,sensor,16,room,1,measurement,,,,
GW1.HA40_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,40,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA40_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,40,CO2,sensor,boost,control,point,,,,,
GW1.HA40_SM_K,,Sub,station,GW1,apartment,number,40,SM,time,,,,,,,,
GW1.HA40_SM_KAM,,Sub,station,GW1,apartment,number,40,SM,KAM,,,,,,,,
GW1.HA40_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,40,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA40_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,40,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA40_TE16_AH1_M,,Sub,station,GW1,apartment,number,40,temperature,measurement,16,room,1,measurement,,,,
GW1.HA40_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,40,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA40_TE16_KH_ARH,,Sub,station,GW1,apartment,number,40,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA40_TE16_KH_M,,Sub,station,GW1,apartment,number,40,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA40_TE16_KH_YRH,,Sub,station,GW1,apartment,number,40,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA40_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,40,booster,FI,,,,,,,,
GW1.HA40_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,40,boost,FI,,,,,,,,
GW1.HA40_TH16_AH1_M,,Sub,station,GW1,apartment,number,40,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA40_TH16_KH_M,,Sub,station,GW1,apartment,number,40,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA40_VM_EP_KV_K,,Sub,station,GW1,apartment,number,40,water,meter,EP,cold,water,time,,,,
GW1.HA40_VM_EP_LV_K,,Sub,station,GW1,apartment,number,40,water,meter,EP,heat,exchanger,time,,,,
GW1.HA40_VM_KV_K,,Sub,station,GW1,apartment,number,40,water,meter,cold,water,time,,,,,
GW1.HA40_VM_KV_KAM,,Sub,station,GW1,apartment,number,40,water,meter,cold,water,KAM,,,,,
GW1.HA40_VM_LV_K,,Sub,station,GW1,apartment,number,40,water,meter,heat,exchanger,time,,,,,
GW1.HA40_VM_LV_KAM,,Sub,station,GW1,apartment,number,40,water,meter,heat,exchanger,KAM,,,,,
GW1.HA41_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,41,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA41_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,41,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA41_IMS15_A,,Sub,station,GW1,apartment,number,41,air,flow,controller,15,control,point,,,,
GW1.HA41_IMS15_AS_M,,Sub,station,GW1,apartment,number,41,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA41_IMS15_M,,Sub,station,GW1,apartment,number,41,air,flow,controller,15,measurement,,,,,
GW1.HA41_IMS17_A,,Sub,station,GW1,apartment,number,41,air,flow,controller,17,control,point,,,,
GW1.HA41_IMS17_AS_M,,Sub,station,GW1,apartment,number,41,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA41_IMS17_FA,,Sub,station,GW1,apartment,number,41,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA41_IMS17_M,,Sub,station,GW1,apartment,number,41,air,flow,controller,17,measurement,,,,,
GW1.HA41_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,41,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA41_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,41,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA41_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,41,cooling,room,1,control,point,,,,,
GW1.HA41_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,41,cooling,bathroom,control,point,,,,,,
GW1.HA41_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,41,drying,bathroom,control,point,,,,,,
GW1.HA41_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,41,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA41_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,41,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA41_ME16_KH_ARH,,Sub,station,GW1,apartment,number,41,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW1.HA41_ME16_KH_M,,Sub,station,GW1,apartment,number,41,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA41_ME16_KH_YRH,,Sub,station,GW1,apartment,number,41,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA41_MV10_AH1_A,,Sub,station,GW1,apartment,number,41,magnetic,valve,10,room,1,control,point,,,
GW1.HA41_MV10_AH2_A,,Sub,station,GW1,apartment,number,41,magnetic,valve,10,room,2,control,point,,,
GW1.HA41_MV10_KH_A,,Sub,station,GW1,apartment,number,41,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA41_OE_FI,,Sub,station,GW1,apartment,number,41,OE,FI,,,,,,,,
GW1.HA41_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,41,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA41_QE16_AH1_M,,Sub,station,GW1,apartment,number,41,CO2,sensor,16,room,1,measurement,,,,
GW1.HA41_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,41,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA41_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,41,CO2,sensor,boost,control,point,,,,,
GW1.HA41_SM_K,,Sub,station,GW1,apartment,number,41,SM,time,,,,,,,,
GW1.HA41_SM_KAM,,Sub,station,GW1,apartment,number,41,SM,KAM,,,,,,,,
GW1.HA41_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,41,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA41_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA41_TE16_AH1_M,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,room,1,measurement,,,,
GW1.HA41_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA41_TE16_AH2_M,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,room,2,measurement,,,,
GW1.HA41_TE16_KH_ARH,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA41_TE16_KH_M,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA41_TE16_KH_YRH,,Sub,station,GW1,apartment,number,41,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA41_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,41,booster,FI,,,,,,,,
GW1.HA41_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,41,boost,FI,,,,,,,,
GW1.HA41_TH16_AH1_M,,Sub,station,GW1,apartment,number,41,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA41_TH16_KH_M,,Sub,station,GW1,apartment,number,41,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA41_VM_EP_KV_K,,Sub,station,GW1,apartment,number,41,water,meter,EP,cold,water,time,,,,
GW1.HA41_VM_EP_LV_K,,Sub,station,GW1,apartment,number,41,water,meter,EP,heat,exchanger,time,,,,
GW1.HA41_VM_KV_K,,Sub,station,GW1,apartment,number,41,water,meter,cold,water,time,,,,,
GW1.HA41_VM_KV_KAM,,Sub,station,GW1,apartment,number,41,water,meter,cold,water,KAM,,,,,
GW1.HA41_VM_LV_K,,Sub,station,GW1,apartment,number,41,water,meter,heat,exchanger,time,,,,,
GW1.HA41_VM_LV_KAM,,Sub,station,GW1,apartment,number,41,water,meter,heat,exchanger,KAM,,,,,
GW1.HA42_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,42,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA42_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,42,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA42_IMS15_A,,Sub,station,GW1,apartment,number,42,air,flow,controller,15,control,point,,,,
GW1.HA42_IMS15_AS_M,,Sub,station,GW1,apartment,number,42,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA42_IMS15_FA,,Sub,station,GW1,apartment,number,42,air,flow,controller,15,fictional,point,alarm,,,
GW1.HA42_IMS15_M,,Sub,station,GW1,apartment,number,42,air,flow,controller,15,measurement,,,,,
GW1.HA42_IMS17_A,,Sub,station,GW1,apartment,number,42,air,flow,controller,17,control,point,,,,
GW1.HA42_IMS17_AS_M,,Sub,station,GW1,apartment,number,42,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA42_IMS17_FA,,Sub,station,GW1,apartment,number,42,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA42_IMS17_M,,Sub,station,GW1,apartment,number,42,air,flow,controller,17,measurement,,,,,
GW1.HA42_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,42,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA42_JAAH_ASETUS_AH2_FM,,Sub,station,GW1,apartment,number,42,cooling,set,point,room,2,fictional,point,measurement,,
GW1.HA42_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,42,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA42_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,42,cooling,room,1,control,point,,,,,
GW1.HA42_JAAHDYTYS_AH2_A,,Sub,station,GW1,apartment,number,42,cooling,room,2,control,point,,,,,
GW1.HA42_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,42,cooling,bathroom,control,point,,,,,,
GW1.HA42_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,42,drying,bathroom,control,point,,,,,,
GW1.HA42_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,42,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA42_LAMM_ASETUS_AH2_FM,,Sub,station,GW1,apartment,number,42,heating,set,point,room,2,fictional,point,measurement,,
GW1.HA42_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,42,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA42_ME16_KH_ARH,,Sub,station,GW1,apartment,number,42,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW1.HA42_ME16_KH_M,,Sub,station,GW1,apartment,number,42,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA42_ME16_KH_YRH,,Sub,station,GW1,apartment,number,42,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA42_MV10_AH1_A,,Sub,station,GW1,apartment,number,42,magnetic,valve,10,room,1,control,point,,,
GW1.HA42_MV10_AH2_A,,Sub,station,GW1,apartment,number,42,magnetic,valve,10,room,2,control,point,,,
GW1.HA42_MV10_KH_A,,Sub,station,GW1,apartment,number,42,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA42_OE_FI,,Sub,station,GW1,apartment,number,42,OE,FI,,,,,,,,
GW1.HA42_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,42,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA42_QE16_AH1_M,,Sub,station,GW1,apartment,number,42,CO2,sensor,16,room,1,measurement,,,,
GW1.HA42_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,42,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA42_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,42,CO2,sensor,boost,control,point,,,,,
GW1.HA42_SM_K,,Sub,station,GW1,apartment,number,42,SM,time,,,,,,,,
GW1.HA42_SM_KAM,,Sub,station,GW1,apartment,number,42,SM,KAM,,,,,,,,
GW1.HA42_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,42,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA42_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA42_TE16_AH1_M,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,room,1,measurement,,,,
GW1.HA42_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA42_TE16_AH2_M,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,room,2,measurement,,,,
GW1.HA42_TE16_AH2_YRH,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,room,2,high,limit,alarm,,
GW1.HA42_TE16_KH_ARH,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA42_TE16_KH_M,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA42_TE16_KH_YRH,,Sub,station,GW1,apartment,number,42,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA42_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,42,booster,FI,,,,,,,,
GW1.HA42_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,42,boost,FI,,,,,,,,
GW1.HA42_TH16_AH1_M,,Sub,station,GW1,apartment,number,42,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA42_TH16_AH2_M,,Sub,station,GW1,apartment,number,42,offset,from,the,setpoint,value,16,room,2,measurement,
GW1.HA42_TH16_KH_M,,Sub,station,GW1,apartment,number,42,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA42_VM_EP_KV_K,,Sub,station,GW1,apartment,number,42,water,meter,EP,cold,water,time,,,,
GW1.HA42_VM_EP_LV_K,,Sub,station,GW1,apartment,number,42,water,meter,EP,heat,exchanger,time,,,,
GW1.HA42_VM_KV_K,,Sub,station,GW1,apartment,number,42,water,meter,cold,water,time,,,,,
GW1.HA42_VM_KV_KAM,,Sub,station,GW1,apartment,number,42,water,meter,cold,water,KAM,,,,,
GW1.HA42_VM_LV_K,,Sub,station,GW1,apartment,number,42,water,meter,heat,exchanger,time,,,,,
GW1.HA42_VM_LV_KAM,,Sub,station,GW1,apartment,number,42,water,meter,heat,exchanger,KAM,,,,,
GW1.HA43_2_IMS15_A,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,15,control,point,,,
GW1.HA43_2_IMS15_AS_M,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,15,deflected,setpoint,measurement,,
GW1.HA43_2_IMS15_FA,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,15,fictional,point,alarm,,
GW1.HA43_2_IMS15_M,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,15,measurement,,,,
GW1.HA43_2_IMS17_A,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,17,control,point,,,
GW1.HA43_2_IMS17_AS_M,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,17,deflected,setpoint,measurement,,
GW1.HA43_2_IMS17_FA,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,17,fictional,point,alarm,,
GW1.HA43_2_IMS17_M,,Sub,station,GW1,apartment,number,43,2,air,flow,controller,17,measurement,,,,
GW1.HA43_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,43,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA43_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,43,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA43_IMS15_A,,Sub,station,GW1,apartment,number,43,air,flow,controller,15,control,point,,,,
GW1.HA43_IMS15_AS_M,,Sub,station,GW1,apartment,number,43,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA43_IMS15_FA,,Sub,station,GW1,apartment,number,43,air,flow,controller,15,fictional,point,alarm,,,
GW1.HA43_IMS15_M,,Sub,station,GW1,apartment,number,43,air,flow,controller,15,measurement,,,,,
GW1.HA43_IMS17_A,,Sub,station,GW1,apartment,number,43,air,flow,controller,17,control,point,,,,
GW1.HA43_IMS17_AS_M,,Sub,station,GW1,apartment,number,43,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA43_IMS17_FA,,Sub,station,GW1,apartment,number,43,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA43_IMS17_M,,Sub,station,GW1,apartment,number,43,air,flow,controller,17,measurement,,,,,
GW1.HA43_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,43,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA43_JAAH_ASETUS_AH2_FM,,Sub,station,GW1,apartment,number,43,cooling,set,point,room,2,fictional,point,measurement,,
GW1.HA43_JAAH_ASETUS_AH3_FM,,Sub,station,GW1,apartment,number,43,cooling,set,point,room,3,fictional,point,measurement,,
GW1.HA43_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,43,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA43_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,43,cooling,room,1,control,point,,,,,
GW1.HA43_JAAHDYTYS_AH2_A,,Sub,station,GW1,apartment,number,43,cooling,room,2,control,point,,,,,
GW1.HA43_JAAHDYTYS_AH3_A,,Sub,station,GW1,apartment,number,43,cooling,room,3,control,point,,,,,
GW1.HA43_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,43,cooling,bathroom,control,point,,,,,,
GW1.HA43_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,43,drying,bathroom,control,point,,,,,,
GW1.HA43_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,43,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA43_LAMM_ASETUS_AH2_FM,,Sub,station,GW1,apartment,number,43,heating,set,point,room,2,fictional,point,measurement,,
GW1.HA43_LAMM_ASETUS_AH3_FM,,Sub,station,GW1,apartment,number,43,heating,set,point,room,3,fictional,point,measurement,,
GW1.HA43_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,43,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA43_ME16_KH_ARH,,Sub,station,GW1,apartment,number,43,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW1.HA43_ME16_KH_M,,Sub,station,GW1,apartment,number,43,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA43_ME16_KH_YRH,,Sub,station,GW1,apartment,number,43,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA43_MV10_AH1_A,,Sub,station,GW1,apartment,number,43,magnetic,valve,10,room,1,control,point,,,
GW1.HA43_MV10_AH2_A,,Sub,station,GW1,apartment,number,43,magnetic,valve,10,room,2,control,point,,,
GW1.HA43_MV10_AH3_A,,Sub,station,GW1,apartment,number,43,magnetic,valve,10,room,3,control,point,,,
GW1.HA43_MV10_KH_A,,Sub,station,GW1,apartment,number,43,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA43_OE_FI,,Sub,station,GW1,apartment,number,43,OE,FI,,,,,,,,
GW1.HA43_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,43,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA43_QE16_AH1_M,,Sub,station,GW1,apartment,number,43,CO2,sensor,16,room,1,measurement,,,,
GW1.HA43_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,43,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA43_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,43,CO2,sensor,boost,control,point,,,,,
GW1.HA43_SM_K,,Sub,station,GW1,apartment,number,43,SM,time,,,,,,,,
GW1.HA43_SM_KAM,,Sub,station,GW1,apartment,number,43,SM,KAM,,,,,,,,
GW1.HA43_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,43,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA43_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA43_TE16_AH1_M,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,1,measurement,,,,
GW1.HA43_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA43_TE16_AH2_ARH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,2,low,limit,alarm,,
GW1.HA43_TE16_AH2_M,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,2,measurement,,,,
GW1.HA43_TE16_AH2_YRH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,2,high,limit,alarm,,
GW1.HA43_TE16_AH3_ARH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,3,low,limit,alarm,,
GW1.HA43_TE16_AH3_M,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,3,measurement,,,,
GW1.HA43_TE16_AH3_YRH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,room,3,high,limit,alarm,,
GW1.HA43_TE16_KH_ARH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA43_TE16_KH_M,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA43_TE16_KH_YRH,,Sub,station,GW1,apartment,number,43,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA43_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,43,booster,FI,,,,,,,,
GW1.HA43_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,43,boost,FI,,,,,,,,
GW1.HA43_TH16_AH1_M,,Sub,station,GW1,apartment,number,43,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA43_TH16_AH2_M,,Sub,station,GW1,apartment,number,43,offset,from,the,setpoint,value,16,room,2,measurement,
GW1.HA43_TH16_AH3_M,,Sub,station,GW1,apartment,number,43,offset,from,the,setpoint,value,16,room,3,measurement,
GW1.HA43_TH16_KH_M,,Sub,station,GW1,apartment,number,43,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA43_VM_EP_KV_K,,Sub,station,GW1,apartment,number,43,water,meter,EP,cold,water,time,,,,
GW1.HA43_VM_EP_LV_K,,Sub,station,GW1,apartment,number,43,water,meter,EP,heat,exchanger,time,,,,
GW1.HA43_VM_KV_K,,Sub,station,GW1,apartment,number,43,water,meter,cold,water,time,,,,,
GW1.HA43_VM_KV_KAM,,Sub,station,GW1,apartment,number,43,water,meter,cold,water,KAM,,,,,
GW1.HA43_VM_LV_K,,Sub,station,GW1,apartment,number,43,water,meter,heat,exchanger,time,,,,,
GW1.HA43_VM_LV_KAM,,Sub,station,GW1,apartment,number,43,water,meter,heat,exchanger,KAM,,,,,
GW1.HA44_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,44,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA44_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,44,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA44_IMS15_A,,Sub,station,GW1,apartment,number,44,air,flow,controller,15,control,point,,,,
GW1.HA44_IMS15_AS_M,,Sub,station,GW1,apartment,number,44,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA44_IMS15_FA,,Sub,station,GW1,apartment,number,44,air,flow,controller,15,fictional,point,alarm,,,
GW1.HA44_IMS15_M,,Sub,station,GW1,apartment,number,44,air,flow,controller,15,measurement,,,,,
GW1.HA44_IMS17_A,,Sub,station,GW1,apartment,number,44,air,flow,controller,17,control,point,,,,
GW1.HA44_IMS17_AS_M,,Sub,station,GW1,apartment,number,44,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA44_IMS17_FA,,Sub,station,GW1,apartment,number,44,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA44_IMS17_M,,Sub,station,GW1,apartment,number,44,air,flow,controller,17,measurement,,,,,
GW1.HA44_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,44,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA44_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,44,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA44_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,44,cooling,room,1,control,point,,,,,
GW1.HA44_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,44,cooling,bathroom,control,point,,,,,,
GW1.HA44_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,44,drying,bathroom,control,point,,,,,,
GW1.HA44_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,44,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA44_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,44,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA44_ME16_KH_ARH,,Sub,station,GW1,apartment,number,44,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW1.HA44_ME16_KH_M,,Sub,station,GW1,apartment,number,44,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA44_ME16_KH_YRH,,Sub,station,GW1,apartment,number,44,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA44_MV10_AH1_A,,Sub,station,GW1,apartment,number,44,magnetic,valve,10,room,1,control,point,,,
GW1.HA44_MV10_KH_A,,Sub,station,GW1,apartment,number,44,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA44_OE_FI,,Sub,station,GW1,apartment,number,44,OE,FI,,,,,,,,
GW1.HA44_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,44,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA44_QE16_AH1_M,,Sub,station,GW1,apartment,number,44,CO2,sensor,16,room,1,measurement,,,,
GW1.HA44_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,44,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA44_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,44,CO2,sensor,boost,control,point,,,,,
GW1.HA44_SM_K,,Sub,station,GW1,apartment,number,44,SM,time,,,,,,,,
GW1.HA44_SM_KAM,,Sub,station,GW1,apartment,number,44,SM,KAM,,,,,,,,
GW1.HA44_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,44,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA44_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,44,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA44_TE16_AH1_M,,Sub,station,GW1,apartment,number,44,temperature,measurement,16,room,1,measurement,,,,
GW1.HA44_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,44,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA44_TE16_KH_ARH,,Sub,station,GW1,apartment,number,44,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA44_TE16_KH_M,,Sub,station,GW1,apartment,number,44,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA44_TE16_KH_YRH,,Sub,station,GW1,apartment,number,44,temperature,measurement,16,bathroom,high,limit,alarm,,,
