GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW1.HA11_ME16_KH_M,,Sub,station,GW1,apartment,number,11,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA11_ME16_KH_YRH,,Sub,station,GW1,apartment,number,11,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA11_MV10_AH1_A,,Sub,station,GW1,apartment,number,11,magnetic,valve,10,room,1,control,point,,,
GW1.HA11_MV10_AH2_A,,Sub,station,GW1,apartment,number,11,magnetic,valve,10,room,2,control,point,,,
GW1.HA11_MV10_KH_A,,Sub,station,GW1,apartment,number,11,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA11_OE_FI,,Sub,station,GW1,apartment,number,11,OE,FI,,,,,,,,
GW1.HA11_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,11,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA11_QE16_AH1_M,,Sub,station,GW1,apartment,number,11,CO2,sensor,16,room,1,measurement,,,,
GW1.HA11_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,11,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA11_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,11,CO2,sensor,boost,control,point,,,,,
GW1.HA11_SM_K,,Sub,station,GW1,apartment,number,11,SM,time,,,,,,,,
GW1.HA11_SM_KAM,,Sub,station,GW1,apartment,number,11,SM,KAM,,,,,,,,
GW1.HA11_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,11,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA11_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA11_TE16_AH1_M,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,room,1,measurement,,,,
GW1.HA11_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA11_TE16_AH2_M,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,room,2,measurement,,,,
GW1.HA11_TE16_KH_ARH,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA11_TE16_KH_M,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA11_TE16_KH_YRH,,Sub,station,GW1,apartment,number,11,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA11_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,11,booster,FI,,,,,,,,
GW1.HA11_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,11,boost,FI,,,,,,,,
GW1.HA11_TH16_AH1_M,,Sub,station,GW1,apartment,number,11,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA11_TH16_KH_M,,Sub,station,GW1,apartment,number,11,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA11_VM_EP_KV_K,,Sub,station,GW1,apartment,number,11,water,meter,EP,cold,water,time,,,,
GW1.HA11_VM_EP_LV_K,,Sub,station,GW1,apartment,number,11,water,meter,EP,heat,exchanger,time,,,,
GW1.HA11_VM_KV_K,,Sub,station,GW1,apartment,number,11,water,meter,cold,water,time,,,,,
GW1.HA11_VM_KV_KAM,,Sub,station,GW1,apartment,number,11,water,meter,cold,water,KAM,,,,,
